model,match_id,phase,stage,team_a,team_b,final_score_a,final_score_b,outcome,decided_by,advanced,p_a,p_draw,p_b,bet_pick,bet_stake,reasoning,refl_outcome,refl_calibrated,refl_luck,refl_missed,refl_overweighted,refl_bet_diff,refl_conf,argmax,pick_outcome,correct,p_actual,brier,logloss,conf
claude,m11,group,group,Côte d'Ivoire,Ecuador,1,0,team_a_win,regulation,team_a,0.32,0.3,0.38,team_b_win,25,"Ecuador enter unbeaten since a 2024 loss to Brazil, conceded just one goal in qualifying, and are missing nothing significant, while Côte d'Ivoire will be without injured center-back Evan N'Dicka. Both sides are defensively disciplined, so a tight, low-scoring game with high draw equity is likely; Ecuador's superior defensive record and form make them the slight value pick at +151 (implied ~40%) versus my ~38% estimate, so a modest stake is warranted.",incorrect,True,unlucky,"I underweighted Côte d'Ivoire's individual attacking quality on the wings (Diomande, Diallo) being able to convert a single chance even against a watertight defense, and possibly overweighted N'Dicka's absence given their squad depth.",Ecuador's unbeaten run and defensive record—form streaks against weaker opposition don't guarantee they outperform a quality opponent in a single low-event game.,"no, the probabilities were close to a three-way toss-up and Ecuador was a defensible small-value pick; one binary result shouldn't overturn process-sound reasoning.",0.7,2,team_b_win,False,0.32,0.6967999999999999,1.1394342831883648,0.38
claude,m12,group,group,Sweden,Tunisia,5,1,team_a_win,regulation,team_a,0.53,0.27,0.2,team_a_win,30,"Sweden's attacking trio of Gyokeres, Isak and Elanga gives them a clear edge over a Tunisia side that conceded heavily in warm-ups (0-1 Austria, 0-5 Belgium) and may be without injured star Hannibal Mejbri. Opta models Sweden at 52.3% vs Tunisia 22.7%, closely matching market odds around -110/-115, so there's little value edge on the moneyline; the small stake reflects a sound but fairly-priced favorite rather than a strong mispricing. Tunisia's disciplined defensive organization and Sweden's chaotic qualifying form keep meaningful draw risk in play.",correct,True,neither,"I underweighted the margin: Sweden's attacking talent and Tunisia's 0-5 collapse vs Belgium signaled blowout potential, yet I still priced meaningful draw risk (0.27) rather than leaning harder into a comfortable Sweden win.","Tunisia's defensive organization and clean CAF qualifying record, which I let inflate the draw probability despite clear evidence their backline crumbled against quality attacks in warm-ups.","no, the team_a_win pick was correct and well-reasoned, though in hindsight a goals or handicap market would have offered better value given the lopsided final score.",0.8,0,team_a_win,True,0.53,0.3338,0.6348782724359695,0.53
claude,m13,group,group,Spain,Cabo Verde,0,0,draw,regulation,,0.82,0.13,0.05,no_bet,0,"Spain (FIFA #2, reigning Euro champions, 30 matches unbeaten) are heavy favorites at roughly -1100 to -1400 ML against debutants Cabo Verde (#67), implying ~85%+ win probability with no value left for a bettor. Although Yamal and Nico Williams may be eased back from hamstring injuries, Spain's squad depth still dwarfs Cabo Verde's, but the priced-in odds offer no edge and the draw/upset paths are too thin to stake. Cabo Verde have scored well recently (10 goals in last 5), yet face a far stronger opponent, so I pass rather than bet into a no-value favorite.",incorrect,False,neither,"World Cup openers are often cagey, low-scoring affairs, and a heavy favorite easing back injured key attackers (Yamal, Nico Williams) can struggle to break down a deep, motivated debutant defense parking the bus.","Spain's overall quality gap and unbeaten streak, which I converted into an 82% win probability without enough discount for opening-match caution and finishing variance against a packed defense.","no, my no_bet decision was correct on a no-value favorite, and a 0-0 draw vindicates avoiding the team_a_win stake the odds were tempting toward.",0.7,0,team_a_win,False,0.13,1.4318,2.0402208285265546,0.82
claude,m14,group,group,IR Iran,New Zealand,2,2,draw,regulation,,0.52,0.27,0.21,team_a_win,30,"Iran enter on a three-game winning run with superior tournament experience and a clear quality edge through Taremi, aligning with the Opta supercomputer's 53.8% win probability versus New Zealand's 20.4%. New Zealand are the lowest-ranked side in the field, have won just one of their last 11 games, and have never won a World Cup match, though their organization and Wood's aerial threat give them a real chance to frustrate a logistically-disrupted Iran. A modest stake reflects solid value on Iran without overcommitting given Iran's off-field disruptions and patchy attacking form against compact defenses.",incorrect,True,unlucky,"I underweighted New Zealand's set-piece threat through Chris Wood, which was repeatedly flagged as their clearest path to goal and likely produced their two strikes despite their poor general form.",I gave too much weight to Iran's three-game winning run and tournament experience while underplaying the concrete warning signs of rust from their domestic league suspension and patchy scoring against organized defenses.,"no, the draw probability I assigned (27%) was reasonable and a single 2-2 result doesn't invalidate Iran being the correct favorite; the stake was appropriately modest given the acknowledged disruptions.",0.7,0,team_a_win,False,0.27,0.8473999999999999,1.3093333199837622,0.52
claude,m15,group,group,Saudi Arabia,Uruguay,1,1,draw,regulation,,0.14,0.21,0.65,team_b_win,25,"Uruguay are heavy favorites (Opta supercomputer ~64.7%, bet365 -200), sitting 45 FIFA places above Saudi Arabia with a vastly superior squad led by Núñez and Valverde, while Saudi Arabia are in poor form (one win in seven). The main risks are Bielsa's low-scoring tendency and Uruguay's defensive injuries, so I value Uruguay at roughly -200 odds (implied ~0.65) with no edge to overbet — a moderate stake is justified. The draw at +333 carries some live equity given Saudi Arabia's deep-block approach, capping how confident the bet should be.",incorrect,True,unlucky,"I underweighted how effectively Saudi Arabia's deep-block, frustrate-and-counter setup could neutralize Uruguay, combined with Bielsa's persistent inability to have his sides score more than once per game—both signals I noted but didn't fully price in.","The raw squad-quality and FIFA-ranking gap, which matters less in a single low-event match where a disciplined underdog can hold a favorite to one goal.","no, the 25% Uruguay-win stake was reasonable expected value at -200 given a genuine ~65% edge, and a single adverse outcome doesn't invalidate the process—though the draw's +333 live equity I flagged is exactly what hit.",0.7,2,team_b_win,False,0.21,1.0662,1.5606477482646683,0.65
claude,m16,group,group,Belgium,Egypt,1,1,draw,regulation,,0.58,0.25,0.17,team_a_win,35,"Belgium are unbeaten in 13 (5-0 over Tunisia in their final warm-up), top a deeper squad with De Bruyne, Doku and Courtois, and sit well above Egypt in quality, though Egypt's Salah/Marmoush transition threat and Belgium's shaky defense keep a draw live. Market consensus (Kalshi ~61% Belgium, bet365 -150) aligns with my read, so I back Belgium but stake conservatively given the value is roughly fair rather than a clear edge. Egypt's organized, counter-heavy setup and Belgium's defensive vulnerabilities make an outright Egypt win the least likely outcome.",incorrect,True,unlucky,I underweighted how effectively Egypt's compact double pivot could neutralize De Bruyne and how Salah/Marmoush in transition could exploit Belgium's defense for a goal—exactly the risk I named but priced too low.,"Belgium's 13-match unbeaten run and 5-0 Tunisia rout, which were partly inflated by weak opposition and didn't reflect their genuine defensive fragility against a quality counter-attacking side.","no, the 58% Belgium win probability and 25% draw I assigned were reasonable, my stake was appropriately conservative, and a draw landing in a quarter-likelihood outcome doesn't invalidate the process.",0.75,0,team_a_win,False,0.25,0.9278000000000001,1.3862943611198906,0.58
claude,m17,group,group,Austria,Jordan,3,1,team_a_win,regulation,team_a,0.67,0.21,0.12,draw,15,"Austria are clear favorites (market ~ -300, ~70%) with the deeper, more experienced squad, Rangnick's pressing and a strong defensive record, while Jordan are missing top qualifying scorer Al-Naimat and will likely sit deep on their World Cup debut. I price Austria slightly below market because World Cup openers tend to be cagey and Jordan's compact 3-4-3/5-3-2 counter setup is built to frustrate, which nudges the draw up. The favorite at -300 offers no value, but the draw at ~+425 looks marginally underpriced, so a small disciplined stake there.",correct,True,neither,"I underweighted how decisively Austria's squad and attacking superiority would translate into a comfortable multi-goal win, especially with Jordan's forward line gutted by the loss of top scorer Al-Naimat leaving them unable to punish.","The 'World Cup opener will be cagey/low-scoring' narrative and Jordan's ability to frustrate by sitting deep, which led me to inflate the draw probability above the market and bet on it.","yes, I'd drop the draw stake since it was a contrarian lean against an efficient market with no real edge, and either no-bet or back the favorite.",0.8,0,team_a_win,True,0.67,0.16739999999999997,0.40047756659712525,0.67
claude,m18,group,group,France,Senegal,3,1,team_a_win,regulation,team_a,0.63,0.21,0.16,team_b_win,12,"France are clear favorites with elite attacking depth (Mbappé, Dembélé, Olise) and strong form, and models/markets cluster them around 63-68% (Opta 64.8%, Kalshi 68%, devigged books ~65%). But the favorite is priced at heavy juice (-210/-220) and the draw at ~+340, leaving both negative-EV against my estimates; only Senegal — unbeaten in qualifying, defensively solid (5 clean sheets in last 7), and dangerous on the counter through Mané versus France's attacking fullbacks and leaky back line — offers marginal long-shot value at +600 relative to my ~16% read, so a small disciplined stake on the underdog is the only positive-EV side.",partially_correct,True,neither,"I underweighted how decisively France's superior attacking class would convert chance volume into multiple goals; Senegal scored as I expected, but the quality gap produced a comfortable 3-1 rather than the tight one-goal game I pictured.","The 'leaky French back line / 2002 upset / tournament-opener variance' narrative, which inflated Senegal to 16% and, worse, justified a contrarian long-shot bet.","yes — the Senegal edge (16% vs ~14% implied) was within estimation noise and Kelly sized it near zero (~$2), so the disciplined call was no_bet rather than a $12 stake, and backing the favorite was -EV behind the juice.",0.8,0,team_a_win,True,0.63,0.2066,0.4620354595965587,0.63
claude,m19,group,group,Iraq,Norway,1,4,team_b_win,regulation,team_b,0.08,0.15,0.77,no_bet,0,"Norway are clear favourites: a flawless UEFA qualifying campaign (8/8 wins, 37 goals, 5 conceded), Haaland (16 qualifying goals), Ødegaard and Sørloth, versus an Iraq side that qualified last via a playoff and is set up by Graham Arnold to sit deep and frustrate. My ~0.77 Norway estimate matches the Opta supercomputer (77.4%) and the de-vigged market, but it sits below the bookmaker break-even for every outcome (Norway -450/-525 implies ~82-84%, draw ~16%, Iraq ~8%), so none of the three offers positive expected value. With no edge over an efficient line, the disciplined call is to pass.",correct,True,neither,"Norway's attacking ceiling in this specific game — my reasoning hinted at a low-scoring 1-0/2-0 win, while their qualifying scoring rate (4.6/game) should have flagged a multi-goal margin as very plausible.","Iraq's defensive resilience under Arnold — I leaned on the 'deep block frustrates the favourite' narrative, but Norway's quality produced a comfortable rout rather than the tight grind I implied.","no — no_bet was process-correct because Norway's de-vigged price (~82%) still exceeded my ~77% estimate, and one favourite winning doesn't retroactively create the edge that was absent.",0.8,2,team_b_win,True,0.77,0.08179999999999998,0.2613647641344075,0.77
claude,m20,group,group,Argentina,Algeria,3,0,team_a_win,regulation,team_a,0.7000000000000001,0.19000000000000003,0.11000000000000001,no_bet,0,"Argentina (defending champions, Messi/Alvarez/Lautaro, 7-game win streak) are heavy favorites over a competent but clearly weaker Algeria; my estimate (~70/19/11) matches the no-vig market almost exactly (DraftKings/FanDuel ~ -255/-270, Kalshi 71/20/11). Because there's no meaningful gap between my probabilities and the prices, no outcome offers positive expected value — the favorite's payout is too small (-255 = ~3.9% return on a 70% chance) and the longshots carry the usual favorite-longshot bias. Kelly sizing is effectively zero or negative across all three options, so the disciplined choice is no bet.",correct,True,neither,I slightly underweighted how total Argentina's control would be — a 3-0 clean sheet sits at the dominant end of my distribution — though one match is thin evidence and doesn't really prove miscalibration.,"The upset/draw risk: ~30% combined on draw-or-Algeria partly reflected Messi's hamstring management and the 2022 Saudi-opener cautionary tale, neither of which materialized.","no — the result confirms the favorite but the prices were still efficient with no positive-EV edge, and changing my call based on one outcome would be results-oriented thinking.",0.82,0,team_a_win,True,0.7000000000000001,0.13819999999999996,0.3566749439387323,0.7000000000000001
claude,m21,group,group,Portugal,Congo DR,1,1,draw,regulation,,0.75,0.17,0.08,no_bet,0,"Portugal are elite and in excellent form (one loss in their last 13), while DR Congo are 46th-ranked debutants returning after 52 years, so a Portugal win is clearly most likely. However, the market already prices Portugal at roughly -360 (implied ~0.74 no-vig), which matches my own estimate, so the money line offers no positive expected value; the draw (+460) and Congo (+1000) are also fairly priced against my numbers. With no edge on any of the three outcomes, the disciplined decision is to pass.",partially_correct,True,neither,"The elevated base rate of cagey, low-scoring World Cup openers where heavy favorites drop points, plus the difficulty of breaking down a motivated, physically strong debutant defense parking the bus.","Portugal's gaudy recent scoring form (the nine-goal qualifier and over-2.5 friendlies), which I let imply a comfortable win rather than treating tournament-opener conditions as a dampener.","no, my no_bet call was vindicated since a Portugal money-line stake at -360 would have lost and the draw confirmed there was no value in the favorite.",0.7,0,team_a_win,False,0.17,1.2577999999999998,1.7719568419318752,0.75
claude,m22,group,group,England,Croatia,4,2,team_a_win,regulation,team_a,0.56,0.25,0.19,team_a_win,35,"England enter as clear favorites (~-140), riding 11 straight competitive wins and a perfect 8-for-8 qualifying campaign with zero goals conceded, and have beaten this aging, out-of-form Croatia side in their last two meetings. My ~56% estimate aligns with both the Opta supercomputer (55.9%) and the de-vigged market, so there is little pure value, but England's dominant form supports a modest stake while the live draw/upset risk against a tournament-savvy Croatia caps confidence.",correct,True,neither,"I underweighted how open and high-scoring the game would be—Croatia scored twice, contradicting the consensus 'low-scoring, controlled night' lean I anchored on given England's qualifying clean-sheet record.","Croatia's reputation for keeping games tight and the draw/upset risk, which made me hedge my stake and cap confidence even though England's attacking quality produced a comfortable 2-goal margin.","no, England on the moneyline was the correct and most defensible pick; in hindsight the over-2.5/both-teams-to-score markets some previews flagged would also have hit, but my core 1X2 bet won.",0.82,0,team_a_win,True,0.56,0.2922,0.579818495252942,0.56
claude,m23,group,group,Ghana,Panama,1,0,team_a_win,regulation,team_a,0.36,0.27,0.37,team_b_win,20,"There's a sharp split between markets and models: bet365 makes Ghana slight favorites (+100 / Panama +260), but Opta's supercomputer gives Panama 45.2% vs Ghana's 29.6%, and Panama is ranked 34th to Ghana's 73rd while arriving in far better form (undefeated qualifying, recent Gold Cup final and Nations League runner-up) against a Ghana side that lost six of its last seven. I treat the game as near a coin flip, with Ghana's individual talent (Semenyo, Williams, Partey) offsetting Panama's structural edge, which leaves Panama at +260 as the clear value side; I stake modestly because the betting market disagreeing with me is a real caution flag.",partially_correct,True,neither,"I underweighted the sharp betting market's signal — it favored Ghana despite worse ranking/form, and that information (Ghana's individual attacking quality translating to goals) proved decisive.","I leaned too hard on the Opta supercomputer's Panama projection and the FIFA ranking/recent-form gap, treating the model-vs-market divergence as a value edge when the market was better informed.","yes — I'd defer more to the sharp market favorite and either pass or stake smaller, though I'd caution against over-updating since a single one-goal loss is weak evidence against a process that was +EV under my model.",0.6,2,team_b_win,False,0.36,0.6194000000000001,1.0216512475319814,0.37
claude,m24,group,group,Uzbekistan,Colombia,1,3,team_b_win,regulation,team_b,0.13,0.21,0.66,team_a_win,15,"Colombia is the deserved heavy favorite — superior squad (Díaz, James, Suárez), CONMEBOL pedigree vs. World Cup debutants — and my 66% Colombia win estimate matches the de-vigged market (Opta 62%, Dimers 68%, Kalshi ~72% pre-vig). Colombia and the draw therefore offer no edge after the bookmaker margin. The only identifiable value is Uzbekistan at the best-available +800 (≈11.1% implied), which sits slightly below my ~13% estimate; their compact 3-4-2-1 under Cannavaro plus the Azteca's ~2,250m altitude, which blunts a favorite's tempo, justify a small upset-value stake despite high variance.",partially_correct,True,neither,Colombia's attacking quality (Díaz/James/Suárez) was decisive enough to overcome the altitude and shaky warm-up form I leaned on; a 3-1 confirms the class gap dominated the conditions.,"The Azteca altitude 'leveler' and Colombia's slow friendlies — these were the basis for nudging Uzbekistan to 13% and a value bet, and they did not materially close the gap.","yes — I'd take no_bet, since my Uzbekistan edge rested on a ~13% vs ~11% gap that sat within my own estimation noise and on speculative leveling factors.",0.8,2,team_b_win,True,0.66,0.17659999999999998,0.4155154439616658,0.66
claude,m25,group,group,Mexico,Korea Republic,1,0,team_a_win,regulation,team_a,0.47,0.28,0.25,no_bet,0,"Mexico are deserved narrow home favorites given their four-game winning run, a clean-sheet opener, a perfect World Cup H2H vs Korea, and a fervent Guadalajara crowd, though Montes is suspended and Quiñones is a doubt. Korea's attacking quality (Son, Lee Kang-in, Hwang In-beom) keeps it close, consistent with Opta's ~49% Mexico read and a roughly evens market (Mexico +100, Draw +240, Korea ~+330). My probabilities track the de-vigged market almost exactly, so after the bookmaker margin no outcome offers a clear edge—hence no bet.",correct,True,neither,"I underweighted Mexico's defensive solidity without Montes—Álvarez dropping into the backline held a clean sheet, so the shutout was firmer than my 'open game' lean implied.",Korea's attacking threat and the 'both teams to score' narrative; I gave Son/Lee Kang-in/Hwang slightly too much credit given Korea failed to score.,"no, the favorite winning a tight game by one goal is exactly the efficient-market scenario I modeled, and a single result doesn't reveal an edge I could have exploited.",0.72,0,team_a_win,True,0.47,0.42180000000000006,0.7550225842780328,0.47
claude,m26,group,group,Canada,Qatar,6,0,team_a_win,regulation,team_a,0.7100000000000001,0.18000000000000002,0.11000000000000001,no_bet,0,"Canada are strong favourites at home in Vancouver (FIFA 30th vs 56th), with the Opta supercomputer giving them 72.9% and bookmakers pricing them around 2/7; Qatar were heavily outplayed by Switzerland and are winless in seven. My ~71% estimate for a Canada win sits below the ~78% break-even implied by 2/7, so backing the favourite is negative EV, while any edge on the draw or a Qatar upset is too thin and odds-dependent to claim confidently. The disciplined play in a fairly priced market is no bet.",correct,True,neither,"I underweighted Qatar's defensive fragility — they had already conceded 26 shots and 3.2 xG to Switzerland, so the gap was wide enough that a blowout, not just a win, was a real possibility; my 18% draw and 11% Qatar-win mass was likely too generous.","Canada's nervy, wasteful opener against Bosnia and Qatar's 'plucky frustrator' narrative from their lucky late draw — I treated Canada's finishing problems and Qatar's resilience as more durable than they were.","no — backing a ~2/7 favourite was still thin/negative EV by my own framework, and resisting outcome bias, the no-bet was process-sound; the real value, if any, sat in goals/handicap markets I didn't price.",0.82,0,team_a_win,True,0.7100000000000001,0.12859999999999996,0.34249030894677585,0.7100000000000001
