match_id,chatgpt,claude,gemini,grok,phase,all_same
m43,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m44,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m45,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m46,team_b_win,team_b_win,team_b_win,team_b_win,group,True
m47,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m48,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m49,team_b_win,team_b_win,team_b_win,team_b_win,group,True
m50,team_b_win,team_b_win,team_b_win,team_b_win,group,True
m51,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m52,team_b_win,team_b_win,team_b_win,team_b_win,group,True
m53,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m54,team_a_win,team_a_win,draw,team_a_win,group,False
m55,team_b_win,team_b_win,team_b_win,team_b_win,group,True
m56,team_b_win,team_b_win,team_b_win,team_b_win,group,True
m57,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m58,team_b_win,team_b_win,team_b_win,team_b_win,group,True
m59,team_b_win,team_b_win,team_b_win,team_b_win,group,True
m60,draw,team_a_win,draw,draw,group,False
m61,team_b_win,team_b_win,team_b_win,team_b_win,group,True
m62,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m63,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m64,team_b_win,team_b_win,team_b_win,team_b_win,group,True
m65,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m66,team_b_win,team_b_win,team_b_win,team_b_win,group,True
m67,draw,draw,team_b_win,draw,group,False
m68,team_b_win,team_b_win,team_b_win,team_b_win,group,True
m69,team_b_win,team_b_win,team_b_win,team_b_win,group,True
m70,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m71,team_a_win,team_a_win,draw,team_a_win,group,False
m72,team_b_win,team_b_win,team_b_win,team_b_win,group,True
m73,team_b_win,team_b_win,team_b_win,team_b_win,knockout,True
m74,team_a_win,team_a_win,team_a_win,team_a_win,knockout,True
m75,team_a_win,team_a_win,team_a_win,team_a_win,knockout,True
m76,team_a_win,team_a_win,team_a_win,team_a_win,knockout,True
m77,team_a_win,team_a_win,team_a_win,team_a_win,knockout,True
m78,team_a_win,team_a_win,team_a_win,team_a_win,knockout,True
m79,team_b_win,team_b_win,team_b_win,team_b_win,knockout,True
m80,team_a_win,team_a_win,team_a_win,team_a_win,knockout,True
m81,team_a_win,team_a_win,team_a_win,team_a_win,knockout,True
m82,team_a_win,team_a_win,team_a_win,team_a_win,knockout,True
m83,team_a_win,team_a_win,team_a_win,team_a_win,knockout,True
m84,team_a_win,team_a_win,team_a_win,team_a_win,knockout,True
m85,team_a_win,team_a_win,team_a_win,team_a_win,knockout,True
m86,team_a_win,team_a_win,team_a_win,team_a_win,knockout,True
m87,team_a_win,team_a_win,team_a_win,team_a_win,knockout,True
m88,team_b_win,team_b_win,team_b_win,team_b_win,knockout,True
m89,team_b_win,team_b_win,team_b_win,team_b_win,knockout,True
m90,team_b_win,team_b_win,team_b_win,team_b_win,knockout,True
m91,team_b_win,team_b_win,team_a_win,team_b_win,knockout,False
m92,team_a_win,team_a_win,team_a_win,team_a_win,knockout,True
m93,team_a_win,team_a_win,team_a_win,team_a_win,knockout,True
m94,team_b_win,team_b_win,team_b_win,team_b_win,knockout,True
m95,team_b_win,team_b_win,team_b_win,team_b_win,knockout,True
m96,team_a_win,team_a_win,team_a_win,team_a_win,knockout,True
m97,team_a_win,team_a_win,team_a_win,team_a_win,knockout,True
m98,team_a_win,team_a_win,team_a_win,team_a_win,knockout,True
m99,team_a_win,team_a_win,team_a_win,team_a_win,knockout,True
